DCU_ID	DOSE	ADMINISTRATION	DISEASE	EFFICACY	EFFECT_TYPE	STAGE	SOURCE	ICD10_S	ICD10_L	EFFECTS_T	TOXICITY	OVERALL
DCU01641	null	null	HIV-1 Infections	Efficacious	Unclear	Phase 4	NCT00772902	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	For TDF/FTC (but not for ABC/3TC), statistically significant reductions (P<0.05) from baseline were observed in total, low-density lipoprotein, high-density lipoprotein (HDL)- and non-HDL cholesterol (at weeks 4 and 12).	null	effective and well tolerated
DCU01642	Defibrotide: 10 mg/kg; Melphalan: 0.25 mg/kg; Prednisone: 0.15 mg/kg; Thalidomide: 50 mg/d	null	Multiple Myeloma	Need further study	Unclear	Phase 1/2	Literature curated	C90 Multiple myeloma and malignant plasma cell neoplasms	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C90  Multiple myeloma and malignant plasma cell neoplasms	In all patients, the complete response plus very good partial response rate was 9%, and the partial response rate was 43%. The 1-year progression-free survival and 1-year overall survival rates were 34% and 90%, respectively.	The most frequent grade 3-4 adverse events included neutropenia, thrombocytopenia, anemia and fatigue. Deep vein thrombosis was reported in only one patient.	showed anti-tumor activity with a favorable tolerability
DCU01645	Aprepitant: 125 mg; Dexamethasone: 12 mg; Fosaprepitant: 15 mg; Ondansetron: 8 mg	null	Chemotherapy-Induced Nausea and Vomiting	Efficacious	Unclear	Phase 3	NCT00337727	R11.2 Nausea with vomiting, unspecified	R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R10-R19  Symptoms and signs involving the digestive system and abdomen; R11  Nausea and vomiting; R11.2 Nausea with vomiting, unspecified	null	null	null
DCU00511	Fluticasone Propionate: 500 åÀg; Salmeterol: 50 åÀg	null	Pulmonary Disease, Chronic Obstructive	Need further study	Unclear	Phase 4	NCT00527826	J44.9 Chronic obstructive pulmonary disease, unspecified	J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J44  Other chronic obstructive pulmonary disease; J44.9 Chronic obstructive pulmonary disease, unspecified	null	null	null
DCU00513	Fluticasone propionate 250 mcg; salmeterol 50 mcg	null	Asthma	Efficacious	Unclear	Phase 3	NCT00424008	J45 Asthma	J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J45  Asthma	null	null	null
DCU00517	Fluticasone propionate 250 mcg; salmeterol 50 mcg	null	Asthma	Efficacious	Unclear	Phase 3	NCT00497237	J45 Asthma	J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J45  Asthma	null	null	null
DCU00534	Ezetimibe: 10 mg; Simvastatin: 20 mg	null	Hypercholesterolemia	Efficacious	Unclear	Phase 3	NCT00479713	E78.0 Pure hypercholesterolemia	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias; E78.0 Pure hypercholesterolemia	Treatment with ezetimibe/simvastatin was significantly more effective than rosuvastatin at lowering low-density lipoprotein cholesterol, total cholesterol, non- high-density lipoprotein cholesterol, and apolipoprotein B (all p<0.001).	null	better than first line therapy
DCU00535	Ezetimibe: 10 mg; Simvastatin: 40 mg	null	Hypercholesterolemia	Efficacious	Unclear	Phase 3	NCT00462748	E78.0 Pure hypercholesterolemia	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias; E78.0 Pure hypercholesterolemia	The percentage of patients (adjusted for baseline differences) achieving LDL-C < 2 mmol/l was 69.4% with ezetimibe/simvastatin 10/40 mg, compared with 33.5% for atorvastatin 40 mg [odds ratio 4.5 (95% CI: 3.0-6.8); p < 0.001] and 14.3% for rosuvastatin 5 or 10 mg [odds ratio 13.6 (95% CI: 8.6-21.6); p < 0.001].	null	better than first line therapy
DCU00536	Ezetimibe: 10 mg; Simvastatin: 20 mg	null	Atherosclerosis	Efficacious	Unclear	Phase 4	NCT00166530	I70.9 Other and unspecified atherosclerosis	I00-I99  Diseases of the circulatory system; I70-I79  Diseases of arteries, arterioles and capillaries; I70  Atherosclerosis; I70.9 Other and unspecified atherosclerosis	119 of 178 (67%) patients in the EZE/SIMVA group and 49 of 189 (26%) in the doubling statin group reached target LDL-C < 2.5 mmol/L. The odds ratio of success for EZE/SIMVA versus doubling statin treatment in reaching the LDL-C target of < 2.5 mmol/L was 5.7 (95% CI: 3.7-9.0, p < 0.0001).	null	better than first line therapy
DCU00538	Ezetimibe: 10 mg; Simvastatin: 40 mg	null	Acute Coronary Syndrome	Efficacious	Unclear	No information	NCT00725829	I24.9 Acute ischemic heart disease	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I24  Other acute ischemic heart diseases; I24.9 Acute ischemic heart disease	Compared with simvastatin alone, simvastatin + ezetimibe results in a greater suppression of oxidative stress and enhanced fibrinolysis in patients with ACS.	null	better than monotherapy
DCU00539	Ezetimibe: 10 mg; Simvastatin: 20 mg	null	Stable Angina	Efficacious	Synergistic	No information	NCT00474123	I20.9 Angina pectoris, unspecified	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I20  Angina pectoris, unspecified; I20.9 Angina pectoris, unspecified	The LDLs were equally reduced by ezetimibe 10/simvastatin 20 mg and simvastatin 80 mg (28.9% ± 13% vs 21.1% ± 33%; P = .46, respectively).	null	no better than first line therapy
DCU00544	Ezetimibe: 10 mg; Simvastatin: 10 mg	null	Hypercholesterolemia	Efficacious	Unclear	Phase 3	NCT00129402	E78.0 Pure hypercholesterolemia	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias; E78.0 Pure hypercholesterolemia	Coadministered ezetimibe and simvastatin for 6 weeks (step 1) resulted in significantly greater mean reduction in low-density lipoprotein cholesterol (LDL-C) from baseline (49.5%) compared with simvastatin monotherapy (34.4%; p < 0.01) in pooled dose groups and in individual dose groups (46.7% vs. 30.4%, 49.5% vs. 34.3%, 52.1% vs. 38.6%, respectively; p < 0.01). At 33 weeks (step 2), ezetimibe-simvastatin subjects had a mean 54.0% reduction in LDL-C compared with a mean 38.1% reduction in simvastatin monotherapy subjects (p < 0.01).	null	better than monotherapy
DCU00545	Ezetimibe: 10 mg; Simvastatin: 10 mg	null	Hypercholesterolemia	Efficacious	Unclear	Phase 4	NCT00932620	E78.0 Pure hypercholesterolemia	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias; E78.0 Pure hypercholesterolemia	Both simvastatin 40mg and simvastatin/ezetimibe 10/10mg decreased total cholesterol (-31% and -36%, respectively), LDL-C (-43% and -49%, respectively), triglycerides (-17% and -19%, respectively), non-high-density lipoprotein cholesterol (non-HDL-C; -40% and -46%, respectively), large LDL-C (-40 and -44%, respectively) and sdLDL-C levels (-42% and -46%, respectively, all p <0.000 vs baseline) and increased LDL particle size (+0.5% and +0.7%, respectively, both p <0.05 vs baseline).	null	effective and well tolerated
DCU00509	Please see the reference	null	Malignant diseases	Non-efficacious	null	No information	Literature curated	null	null	Sirolimus and cisplatin significantly (P = .029) increased cell death versus either drug alone in 4 cell lines.	null	better than monotherapy
DCU00510	Please see the reference	null	Temozolomide-refractory high-grade malignant glioma	Efficacious	Synergistic	Preclinical	Literature curated	C71.9 Malignant neoplasm of brain, unspecified	C00-D48  Neoplasms; C69-C72  Malignant neoplasms of eye, brain and other parts of central nervous system; C71  Malignant neoplasm of brain; C71.9 Malignant neoplasm of brain, unspecified	In patients with glioblastoma, an overall response rate of 29.4% was achieved, with no complete response, and with a disease control rate (responses plus stabilizations) of 64.7%. The median time to progression was 3.8 months (95% confidence interval 2.4-6.8), progression-free survival at 6 months was 28% and overall survival was 7.0 months (95% confidence interval 4.8-11.0).	null	null
DCU03170	null	null	Multiple Myeloma	Non-efficacious	Unclear	Phase 2	NCT00531453	C90 Multiple myeloma and malignant plasma cell neoplasms	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C90  Multiple myeloma and malignant plasma cell neoplasms	null	null	null
DCU03171	null	null	Hypertriglyceridemia	Efficacious	Unclear	Phase 3	NCT00435045	E78 Disorders of lipoprotein metabolism and other lipidemias	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias	With POM3, compared with placebo, small LDL-P concentration decreased (P = .026), large LDL-P concentration increased (P < .001), mean LDL-P size increased (P = .001), a larger fraction of subjects switched from LDL subclass pattern B to A, and Apo CIII and lipoprotein-associated phospholipase A(2) levels were reduced (P < .001).	null	active and well tolerated
DCU03192	null	null	Myeloma	Efficacious	Unclear	Phase 1	NCT01042704	C90.02 Multiple myeloma in relapse	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C90  Multiple myeloma and malignant plasma cell neoplasms; C90.02 Multiple myeloma in relapse	Partial response rate was 52%, with very good partial response achieved in 24%, and minimal response in an additional 24% of patients. Median follow-up was 13 months; median OS has not been reached. One-year OS is 93% (95% confidence interval [CI], 59%-99%). Median PFS is 6.1 months (95% CI, 3.7-9.4 months) with one-year PFS of 20% (95% CI, 6%-41%).	Grade 3/4 adverse events included neutropenia, thrombocytopenia, anemia, hyperglycemia, and fatigue.	feasible and highly active
DCU03198	Docetaxel: 75 mg/m2; Enzastaurin: 500 mg; Prednisone: 5 mg	null	Prostate Cancer	Non-efficacious	Unclear	Phase 2	NCT00466440	C61 Malignant neoplasm of prostate	C00-D48  Neoplasms; C60-C63  Malignant neoplasms of male genital organs; C61  Malignant neoplasm of prostate	null	null	null
DCU03203	Insulin aspart: 6 U; Repaglinide: 6 mg	null	Diabetes Mellitus, Type 2	Efficacious	Unclear	Phase 4	NCT00118963	E11 Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	overall glycaemic regulation with insulin in combination with metformin was equivalent to that with insulin plus repaglinide. Weight gain seemed less with insulin plus metformin than with insulin plus repaglinide.	null	active and well tolerated
DCU03204	null	null	Breast Neoplasms	Efficacious	Unclear	Phase 3	NCT00021255	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU03212	Liraglutide: 0.6/1.2/1.8 mg; Metformin: 1.5 g	null	Type 2 Diabetes Mellitus	Efficacious	Unclear	Phase 2	NCT01175473	E11  Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU03213	Liraglutide: 0.6 mg; Metformin: 1.5-2.0 g	null	Diabetes	Need further study	Unclear	Phase 3	NCT00318461	E11 Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU03214	Liraglutide: 1.8 mg; Metformin: 1.5 g	null	Diabetes	Efficacious	Unclear	Phase 3	NCT00856986	E11 Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU03219	Liraglutide: 0.6/1.2/1.8 mg; Metformin: 1.5-2.0 g	null	Diabetes	Efficacious	Unclear	Phase 3	NCT00614120	E11 Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU03230	Amphotericin B: 0.7 mg/kg;Fluconazole: 400 mg/day	null	Cryptococcal Meningitis	Efficacious	Unclear	Phase 2	NCT00145249	B45.1 Cerebral cryptococcosis	A00-B99  Certain infectious and parasitic diseases; B35-B49  Mycoses; B45  Cryptococcosis; B45.1 Cerebral cryptococcosis	null	null	null
DCU03233	Lamivudine: 300 mg; Nevirapine: 200 mg; Stavudine: 30 mg	null	HIV Infections	Non-efficacious	Unclear	Phase 4	NCT00618176	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU03245	null	null	Relapsing Remitting Multiple Sclerosis	Non-efficacious	Unclear	Phase 3	NCT00211887	G35 Multiple sclerosis	G00-G99  Diseases of the nervous system; G35-G37  Demyelinating diseases of the central nervous system; G35  Multiple sclerosis	null	null	null
DCU03247	null	null	Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma	Efficacious	Unclear	Phase 1	Literature curated	C91.5 Adult T-cell lymphoma/leukemia (HTLV-1-associated)	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C91  Lymphoid leukaemia; C91.5 Adult T-cell lymphoma/leukemia (HTLV-1-associated)	The combination was superior to either agent alone in reducing new lesion activity and accumulation of total lesion volumes. In a post hoc analysis, combination therapy resulted in a higher proportion of participants attaining disease activity-free status (DAFS) compared with either single arm, driven by the MRI results.	null	more effective than monotherapy
DCU03252	Lithium: 300 mg; Valproic Acid: 250 mg	null	Bipolar Disorder	Non-efficacious	Unclear	Phase 3	NCT00194129	F31.9 Bipolar disorder, unspecified	F00-F99  Mental and behavioural disorders; F30-F39  Mood [affective] disorders; F31  Bipolar disorder; F31.9 Bipolar disorder, unspecified	A small subgroup of patients in this study stabilized after 6 months of treatment with lithium plus divalproex. Of those who did, the addition of divalproex to lithium conferred no additional prophylactic benefit over lithium alone.	null	no benefit compared with monotherapy
DCU03265	Lenalidomide: 10 mg/day; Rituximab: 375 mg/m2	null	Chronic Lymphocytic Leukemia	Efficacious	Unclear	Phase 2	NCT00759603	C91.1 Chronic lymphocytic leukemia of B-cell type	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C91  Lymphoid leukaemia; C91.1 Chronic lymphocytic leukemia of B-cell type	null	null	null
DCU00222	Fluoxetine Hydrochloride: 50mg; Olanzapine: 6mg	Capsule; Oral	Treating depression caused by bipolar disorder (manic depression).	Efficacious	null	Approved	FDA orange book	F31.5 Bipolar disorder, current episode depressed, severe, with psychotic features	F00-F99  Mental and behavioural disorders; F30-F39  Mood [affective] disorders; F31  Bipolar disorder; F31.5 Bipolar disorder, current episode depressed, severe, with psychotic features	null	null	null
DCU00223	Benazepril Hydrochloride: 20mg; Hydrochlorothiazide: 12.5mg	Tablet; Oral	For patients with hypertension	Efficacious	Synergistic	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU00224	Captopril: 25mg; Hydrochlorothiazide: 25mg	Tablet; Oral	For patients with hypertension	Efficacious	Synergistic	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU00225	Diclofenac: 8 mg/kg; Paracetamol: 8 mg/kg	Oral	Acute pain	Efficacious	Synergistic	No information	Literature curated	R52.0 acute pain	R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R50-R69  General symptoms and signs; R52  Pain, unspecified; R52.0 acute pain	As shown by isobolographic analysis,  the combination was synergistic, the experimental ED50s being significantly smaller than the theoretically calculated ED50s.	null	better than monotherapy
DCU00226	Irinotecan: Cisplatin = 10:1	null	Small Cell Lung Cancer	Efficacious	Synergistic	No information	Literature curated	C34 Malignant neoplasm of bronchus and lung	C00-D48  Neoplasms; C30-C39  Malignant neoplasms of respiratory and intrathoracic organs; C34  Malignant neoplasm of bronchus and lung	null	null	null
DCU00227	Irinotecan: Cisplatin = 7:1	null	Small Cell Lung Cancer	Efficacious	Synergistic	No information	Literature curated	C34 Malignant neoplasm of bronchus and lung	C00-D48  Neoplasms; C30-C39  Malignant neoplasms of respiratory and intrathoracic organs; C34  Malignant neoplasm of bronchus and lung	null	null	null
DCU00228	Triclosan: 1.5 mg/L; DispersinB: 1 mg/L	null	Escherichia coli infection	Efficacious	Synergistic	Preclinical	Literature curated	B96.2 Escherichia coli [E. coli ] as the cause of diseases classified elsewhere	A00-B99  Certain infectious and parasitic diseases; B95-B98  Bacterial, viral and other infectious agents; B96  Other specified bacterial agents as the cause of diseases classified to other chapters; B96.2 Escherichia coli [E. coli ] as the cause of diseases classified elsewhere	null	null	null
DCU00229	Triclosan: 0.5 mg/L; DispersinB: 5mg/L	null	S.aureus infection	Non-efficacious	null	Preclinical	Literature curated	B95.6 Staphylococcus aureus as the cause of diseases classified elsewhere	A00-B99  Certain infectious and parasitic diseases; B95-B98  Bacterial, viral and other infectious agents; B95  Streptococcus and staphylococcus as the cause of diseases classified to other chapters; B95.6 Staphylococcus aureus as the cause of diseases classified elsewhere	null	null	null
DCU00230	Tenofovir: Efavirenz= 1:1	null	HIV-1 Infections	Efficacious	Synergistic	Preclinical	Literature curated	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU00231	Tenofovir: Efavirenz= 1:3	null	HIV-1 Infections	Efficacious	Additive	Preclinical	Literature curated	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU00232	Emtricitabine: Efavirenz = 1:1	null	HIV-1 Infections	Efficacious	Synergistic	Preclinical	Literature curated	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU00233	Emtricitabine: Efavirenz = 1:3	null	HIV-1 Infections	Efficacious	Synergistic	Preclinical	Literature curated	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU00234	Fluorouracil: 0.3  mcM; RPR-115135: 0.03  mcM	null	Colon Carcinoma	Efficacious	Antagonistic	Preclinical	Literature curated	D01.0 Carcinoma in situ of colon	C00-D48  Neoplasms; D00-D09  In situ neoplasms; D01  Carcinoma in situ of other and unspecified digestive organs; D01.0 Carcinoma in situ of colon	Simultaneous administration of RPR-115135 and 5-FU, at subtoxic concentrations, resulted in a synergistic enhancement of 5-FU cytotoxicity in the p53 wildtype cells (HCT-116, RKO, DLD-1, Colo-320, LoVo).	null	RPR-115135 significantly enhances the efficacy of 5-FU only when p53 is functioning.
DCU00235	Abacavir sulfate: 600 mg; Lamivudine: 300 mg	Tablet; Oral	It is indicated for the treatment of HIV-1 infection.	Efficacious	Synergistic	Approved	FDA orange book	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	It achieves comparable suppression of plasma HIV RNA with thymidine analogs combined with lamivudine.	null	active
DCU00236	Abacavir: 300 mg; Lamivudine: 150 mg; Zidovudine: 300 mg	Tablet; Oral	It is indicated in combination with other antiretrovirals or alone for the treatment of HIV-1 infection.	Efficacious	Additive to Synergistic	Approved	FDA orange book	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU00237	Lopinavir: 200 mg; Ritonavir 50 mg	Tablet; Oral	It is indicated in combination with other antiretroviral agents for the treatment of HIV infection.	Efficacious	Synergistic	Approved	FDA orange book	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU01650	null	null	Complicated Intra-Abdominal Infections	Efficacious	Unclear	Phase 2	NCT00752219	K65.1 Peritoneal abscess	K00-K93   Diseases of the digestive system; K65-K67  Diseases of peritoneum; K65  Peritonitis; K65.1 Peritoneal abscess	Favourable clinical response at the TOC visit in the ME population was observed in 91.2% (62/68) and 93.4% (71/76) of patients in the ceftazidime/avibactam plus metronidazole and meropenem groups, respectively (observed difference: -2.2%; 95% CI: -20.4%, 12.2%).	The incidence of treatment-emergent adverse events was similar for ceftazidime/avibactam plus metronidazole (64.4%) and meropenem (57.8%).	favourable reponse rate and well-tolerated
DCU01676	Glipizide; Metformin: 1500 mg; Pioglitazone: 30 mg; Sitagliptin: 100 mg	null	Type 2 Diabetes Mellitus	Efficacious	Unclear	Phase 3	NCT00885352	E11  Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	The addition of sitagliptin led to significant (P<.001) mean changes from baseline relative to placebo in HbA1c (-0.7%), fasting plasma glucose (-1.0 mmol/L), and 2-h post-meal glucose (-2.2 mmol/L).	Two patients, both in the placebo group, experienced an episode of hypoglycemia that required non-medical assistance.	improved glycemic control and was generally well tolerated.
DCU01680	Cetuximab: 400 mg/m2; Docetaxel: 75 mg/m2	null	Prostate Cancer	Need further study	Unclear	Phase 2	NCT00728663	C61 Malignant neoplasm of prostate	C00-D48  Neoplasms; C60-C63  Malignant neoplasms of male genital organs; C61  Malignant neoplasm of prostate	PFS at 12 weeks was 34% [95% confidence interval (CI), 19%-52%], PFS at 24 weeks was 20%, and median overall survival (OS) was 13.3 months (95% CI, 7.3-15.4). Seven patients (20%) had a confirmed > 50% and 11 patients (31%) a confirmed > 30% prostate-specific antigen decline.	About 47% of enrolled patients experienced grade 3 and 8% grade 4 toxicities.	A significantly improved PFS was found in patients with overexpression of EGFR and persistent activity of PTEN.
DCU01688	null	null	Bacterial Pneumonia	Efficacious	Unclear	Phase 3	NCT00621504	J15.9 Unspecified bacterial pneumonia	J00-J99   Diseases of the respiratory system; J09-J18  Influenza and pneumonia; J15  Bacterial pneumonia, not elsewhere classified; J15.9 Unspecified bacterial pneumonia	null	null	null
DCU01695	null	null	Pancreatic Cancer	Efficacious	Unclear	Phase 3	NCT00058201	C25 Malignant neoplasm of pancreas	C00-D48  Neoplasms; C15-C26  Malignant neoplasms of digestive organs; C25  Malignant neoplasm of pancreas	After adjusting for independent prognostic variables of age, bile duct cancer, poor tumor differentiation, and positive lymph nodes and after conducting multiple regression analysis, the hazard ratio for chemotherapy compared with observation was 0.75 (95% CI, 0.57-0.98; Wald test = 4.53, P = .03).	null	improved survival rate
DCU01717	Chlorthalidone plus amiloride up to 25 e 5 mg daily	null	Hypertension	Efficacious	Unclear	Phase 3	NCT00971165	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU01721	null	null	Multiple Myeloma	Efficacious	Unclear	Phase 3	NCT00461747	C90 Multiple myeloma and malignant plasma cell neoplasms	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C90  Multiple myeloma and malignant plasma cell neoplasms	Post-transplantation CR+nCR rate was significantly higher following bortezomib-based versus nonbortezomib-based induction (38% v 24%; odds ratio, 2.05; P < .001); the benefit remained similar (pooled odds ratio, 1.96) when GIMEMA MM-BO2005 data were included. Median PFS was 35.9 months versus 28.6 months with bortezomib-based versus nonbortezomib-based induction, respectively (hazard ratio, 0.75; P < .001); 3-year overall survival (OS) rates were 79.7% and 74.7%, respectively (hazard ratio for OS, 0.81; P = .0402).	There is a higher rate of peripheral neuropathy but no apparent increase in risk of death during induction.	significant improvements in response and PFS/OS compared with nonbortezomib-based induction and is generally well tolerated.
DCU01723	null	null	Myocardial Infarction	Efficacious	Unclear	Phase 3	NCT00046228	I25.2 Old myocardial infarction	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I25  Chronic ischemic heart disease; I25.2 Old myocardial infarction	Lower nonintracranial TIMI major bleeding was found with enoxaparin (2.6% vs. UFH 4.4%, logistic-regression adjusted odds ratio [OR]: 0.55; 95% confidence interval [CI]: 0.31 to 0.99, p = 0.045), whereas intracranial hemorrhage was similar (0.27% vs. 0.24%, adjusted OR: 1.03; 95% CI: 0.11 to 9.68, p = 0.980).	null	Enoxaparin seems to be associated with a lower risk of cardiovascular outcomes
DCU01731	null	null	Osteoporosis	Efficacious	Unclear	Phase 3	NCT00144456	M80 Osteoporosis with current pathological fracture	M00-M99   Diseases of the musculoskeletal system and connective tissue; M80-M85  Disorders of bone density and structure; M80  Osteoporosis with current pathological fracture	Eldecalcitol treatment rapidly reduced bone turnover markers, and kept them within the normal range.	null	favourable clinical markers
DCU01735	Bevacizumab: 10 mg/kg; Capecitabine: 2 g/m2	null	Metastatic Breast Cancer	Efficacious	Unclear	Phase 3	NCT00600340	C50 Malignant neoplasm of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	The median PFS of capecitabine + bevacizumab was 6.87 months (95% CI, 5.1-11.5 months) and median overall survival was 12.7 months (95% CI, 6.9-12.7 months).	The most common grades 3-4 toxicities were: diarrhea (17.8%), fatigue (13.3%), hand-foot syndrome (13.3%), dehydration (8.9%), hypertension (6.7%) and vomiting (6.7%).	favourable reponse rate and manageable side effects
DCU01736	Bevacizumab: 7.5 mg/kg; Capecitabine: 1 g/m3	null	Colorectal Cancer	Efficacious	Unclear	Phase 3	NCT00484939	C18.9 Malignant neoplasm of colon, unspecified	C00-D48  Neoplasms; C15-C26  Malignant neoplasms of digestive organs; C18  Malignant neoplasm of colon; C18.9 Malignant neoplasm of colon, unspecified	Progression-free survival was significantly longer with bevacizumab and capecitabine than with capecitabine alone (median 9.1 months [95% CI 7.3-11.4] vs 5.1 months [4.2-6.3]; hazard ratio 0.53 [0.41-0.69]; p<0.0001).	Treatment-related adverse events of grade 3 or worse occurred in 53 (40%) patients in the combination group and 30 (22%) in the capecitabine group, and treatment-related serious adverse events in 19 (14%) and 11 (8%) patients. The most common grade 3 or worse adverse events of special interest for bevacizumab or chemotherapy were hand-foot syndrome (21 [16%] vs nine [7%]), diarrhoea (nine [7%] vs nine [7%]), and venous thromboembolic events (11 [8%] vs six [4%]).	significantly longer progression-free survival and well-tolerated
DCU00547	Ezetimibe: 10 mg; Simvastatin: 20 mg	null	Type 2 Diabetes Mellitus Without Insulin Treatment	Efficacious	Unclear	Phase 4	NCT01185236	E11  Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	The increments of ApoA1 were significantly greater in the ezetimibe/simvastatin group than in the atorvastatin group (2.8 ± 10.0 vs. -1.8 ± 9.8 %; p = 0.002). In the per-protocol analysis, improvement in ApoB/ApoA1 was significantly greater in the ezetimibe/simvastatin group (-42.8 ± 11.8 vs. -36.7 ± 13.2 %; p = 0.019).	null	better than first line therapy
